step,loss,effective_batch_size,world_size,accum_steps
0,3.4153422713279724,128,1,4
1,3.444697141647339,128,1,4
2,3.3651148676872253,128,1,4
3,3.4055237770080566,128,1,4
4,3.2110925912857056,128,1,4
5,3.506329357624054,128,1,4
6,3.4405799508094788,128,1,4
7,3.178456962108612,128,1,4
8,3.5433196425437927,128,1,4
9,3.252940356731415,128,1,4
10,3.2915390133857727,128,1,4
11,3.6761067509651184,128,1,4
12,3.0761770606040955,128,1,4
13,3.450337588787079,128,1,4
